TITLE,MODEL,DESCRIPTION,CONDITION,AVAILABILITY_STATUS,PRICE_LIST,PRICE
Karcher - Curatitor cu apa sub presiune HDS-E 8/16-4 M 24 kW,1.030-260.0,"HDS-E 8/16-4M cu boiler electric este ideal pentru evitarea emisiilor de gaze. Eficient si ecologic datorita izolatiei inovatoare a boilerului si modului de functionare economic.,Cod de comanda:1.030-260.0",Nou,,0.0,
Karcher - Curatitor cu apa sub presiune HDS-E 8/16-4 M 12 kW,1.030-210.0,"HDS-E 8/16-4M cu boiler electric este ideal pentru evitarea emisiilor de gaze. Eficient si ecologic datorita izolatiei inovatoare a boilerului si modului economic.,Cod de comanda:1.030-210.0",Nou,,0.0,
Karcher - Curatitor cu apa sub presiune HDS 13/20-4 S,1.071-927.0,"Aparatul HDS 13/20-4 S este cel mai puternic aparat de curatat cu apa calda sub presiune din clasa Super si este echipat cu un motor electric, cu 4 poli , cu racire pe apa si cu afisaj LED,cod comanda: 1.071-927.0",Nou,,0.0,
Karcher - Curatitor cu apa sub presiune HDS 12/18-4 SX,1.071-925.0,"Aparatul de curatat cu apa calda cu presiune HDS 12/18-4 SX ofera accesorii sofisticate si manevrare usoara.,Varianta Sx vine in plus cu:,- tambur pentru strangerea furtunului de presiune,- furtun de presiune de 20m,cod comanda: 1.087-925.0",Nou,,0.0,
Karcher - SG G 1Aparat pentru eliminarea gumei de mestecat,1.092-900.0,"Dispozitivul inovator de curățare cu aburi SGG 1 (unitate tip rucsac alimentată cu acumulatori) îndepărtează guma de mestecat uscată de pe o varietate de suprafețe, cu o combinație de aburi și un agent biologic de curățare.,cod comanda: 1.092-900.0",Nou,La comanda,0.0,
Karcher - ASPIRATOR CU PERI PENTRU COVOR CV 60/2 RS,1.011-027.0,"Aspirator versatil tip perie. Ideal pentru învelitori textile pentru pardoseli și suprafețe dure. Caracteristici standard: încărcătorul și acumulatorii nu sunt incluse la livrare.,cod comanda: 1.011-027.0",Nou,La comanda,0.0,
Karcher - MASINA DE FRECAT ASPIRAT BD 70/75 W Classic Bp Pack 115Ah,1.127-032.0,"Diferită, robustă, compactă, mașina de frecat și uscat BD 70/75 W Classic Bp Pack. Extrem de ușor de operat, cu acumulator de 115-AH-AGM cu autonomie ridicată și conexiune la Kärcher Fleet.,cod comanda: ,1.127-032.0",Nou,La comanda,0.0,
Karcher - MASINA DE FRECAT ASPIRAT BD 70/75 W Classic Bp,1.127-013.0,"Mașină de frecat și uscat împinsă BD 70/75 W Classic Bp cu rezervor de 75 litri și cap de frecare cu două discuri. Foarte ușor de utilizat și extrem de versatilă.,cod comanda: ,1.127-013.0",Nou,La comanda,0.0,
Karcher - Aspirator tip self service SB VC,1.070-003.2,"Aspirator de tip self service Karcher SB VC ,cod comanda: 1.070-003.2",Nou,,0.0,
Karcher - TB 42- spalatorie auto pentru camioane,1.534-051.0,"Cu un program de curatare pentru vehicule comerciale, Kärcher ofera solutii pentru toate tipurile de vehicule si toate cerintele.,TB este o spalatorie tip portal pentru curatarea exterioara automata a vehiculelor utilitare. Vehicolul este pozitionat de catre client, dupa care portalul ruleaza peste vehicolul care trebuie spalat si il curate pe acesta in functie de programul ales individual.,cod comanda: ,1.534-051.0",Nou,,0.0,
Karcher - CB 3 -spalatorie auto,1.534-003.2,"Spalatoriile auto cu perii de tip portal de la Kärcher sunt economice si prietenoase cu mediul inconjurator. Pentru statiile de carburanti, reprezentante auto, spalatorii, centre comerciale si lanturi de supermarketuri.,cod comanda: 1.534-003.2",Nou,,0.0,
Karcher - Curatitor cu apa sub presiune HDS 13/20-4 SX,1.071-850.0,"Noile curatitoare cu inalta presiune cu apa fierbinte de clasa medie si de clasa superioara, curata excelent dar sunt si foarte robuste in operare. Noul modul ECO, unic la Kärcher, le face sa fie fara rival. Cand masina este setata in acest modul, functioneaza automat in intervalul de temperatura cel mai economic. Astfel, costurile de exploatare sunt mai mici iar mediul este protejat.,Cod de comanda:1.071-850.0",Nou,,0.0,
Karcher - Curatitor cu apa sub presiune HDS 12/18-4 S,1.071-914.0,"Puternicul aparat de curatat cu apa fierbinte sub presiune HDS 12/18-4 S ofera un debit mare si un arzator optimizat pentru utilizare economica.,cod comanda: 1.071-914.0",Nou,,0.0,
Karcher - Curatitor cu apa sub presiune HDS 10/20-4 MX, 1.071-912.0,"Aparatul HDS 10/20-4 MX cu motor electric racit cu apa, cu 4 poli, trifazic este cel mai puternic aparat de curatat cu apa calda din clasa Medie de la Karcher.,Varianta Mx vine in plus cu:,- tambur pentru strangerea furtunului de presiune,- furtun de presiune de 20m,cod comanda: 1.071-912.0",Nou,La comanda,0.0,
Karcher - Curatitor cu apa sub presiune HDS 10/20-4 M,1.071-900.0,"HDS 10/20-4 M - Puternicul aparat de curatat trifazic cu apa fierbinte din clasa medie de la KÄRCHER. Motor electric in 4 poli, cu racire pe baza de apa, 2 rezervoare de detergent si avertizare service.,cod comanda: 1.071-900.0",Nou,La comanda,0.0,
Karcher - Curatitor cu apa sub presiune HDS 9/18-4 MX,1.077-918.0,"HDS 9/18-4 MX - aparat de curatat cu apa fierbinte sub presiune, puternic cu 4 poli, motor electric cu racire pe baza de apa, mod ,eco!efficiency, si 2 rezervoare de detergent. ,Varianta MX vine in plus cu:,- tambur pentru strangerea furtunului de presiune,- furtun de presiune de 20m,Cod de comanda:1.077-918.0",Nou,La comanda,0.0,
Karcher - Curatitor cu apa sub presiune HDS 9/18-4M, 1.077-911.0,"HDS 9/18-4 M - Curatitor cu apa sub presiune, puternic cu 4 poli, motor electric cu racire pe baza de apa, mod eco!efficiency, 2 rezervoare de detergent si avertizare service,Cod de comanda: 1.077-911.0",Nou,La comanda,0.0,
Karcher - Curatitor cu apa sub presiune HDS 7/16 CX,1.173-904.0,"HDS 7/16 CX trifazic - curatitor cu apa calda sub presiune din clasa Compact cu Servo Control.,Varinata Cx vine in plus cu:,- tambur pentru strangerea furtunului de presiune,- furtun de presiune de 15m ,Cod de comanda:1.173-904.0",Nou,La comanda,0.0,
Karcher - Utilaj de produs gheata carbonica IP 220,1.574-112.0,"Utilizatorii aparatului Ice Blasters pot sa acopere acum singuri necesitatea lor de gheata carbonica. Cu agregatele pentru granulare de la Kärcher produceti pe viitor la fata locului paletele de gheata carbonica. Independenta fata de un furnizor extern nu este un plus doar pentru flexibilitatea mai mare de care veti dispune in procesul zilnic de curatare, ci si pentru timpii morti mai scurti din timpul productiei care genereaza o rentabilitate mai mare. Agregatele granulate de la Kärcher nu isi gasesc doar intrebuintare profesionala la utilizatorii aparatului Ice Blaster in turnatorii, tipografii, vopsitorii si multe alte domenii industriale, ci pot fi utilizate peste tot acolo und produsele sunt sensibile la caldura si trebuie racite cu gheata carbonica.,Cod de comanda:1.574-112.0",Nou,,0.0,
Karcher - Masina de maturat - aspirat KM 170/600 R Lpg,1.186-128.0,"Masina de maturat industriala angrenata cu GPL si complet hidraulica cu directie pe spate in trei roti. Pentru utilizari dure in industriile cu materiale de constructii sau metalurgie, topitorii si alte sectoare cu cantitati mari de reziduuri.,Cod de comanda:1.186-128.0",Nou,,0.0,
Karcher - Masina de maturat - aspirat KM 150/500 D 4W,1.186-126.0,"Masina de maturat industriala angrenata cu diesel si complet hidraulica cu directie pe spate in patru roti. Pentru utilizari dure in industriile cu materiale de constructii, metalurgie,topitorii si alte sectoare cu o cantitate mare de reziduuri.,Cod de comanda:1.186-126.0",Nou,,0.0,
Karcher - Utilaj de produs gheata carbonica IP 120,1.574-111.0,"Utilizatorii aparatului Ice Blasters pot sa acopere acum singuri necesitatea lor de gheata carbonica. Cu agregatele pentru granulare de la Kärcher produceti pe viitor la fata locului paletele de gheata carbonica. Independenta fata de un furnizor extern nu este un plus doar pentru flexibilitatea mai mare de care veti dispune in procesul zilnic de curatare, ci si pentru timpii morti mai scurti din timpul productiei care genereaza o rentabilitate mai mare. Agregatele granulate de la Kärcher nu isi gasesc doar intrebuintare profesionala la utilizatorii aparatului Ice Blaster in turnatorii, tipografii, vopsitorii si multe alte domenii industriale, ci pot fi utilizate peste tot acolo und produsele sunt sensibile la caldura si trebuie racite cu gheata carbonica.,Cod de comanda:1.574-111.0",Nou,,0.0,
Karcher - Masina de maturat - aspirat KM 170/600 R D,1.186-127.0,"Masina de maturat industriala angrenata cu diesel si complet hidraulica cu directie pe spate in patru roti. Pentru utilizari dure in industriile cu materiale de constructii sau metalurgie, topitorii si alte sectoare cu cantitati mari de reziduuri.,Cod de comanda:1.186-127.0",Nou,,0.0,
Karcher - Masina de maturat - aspirat MC 130,1.442-230.2,Cod de comanda:1.442-230.2,Nou,,0.0,
Karcher - Masina de maturat - aspirat KM 150/500 R D,1.186-124.0,"Masina de maturat industriala angrenata cu diesel si complet hidraulica cu directie pe spate in trei roti. Pentru utilizari dure in industriile cu materiale de constructii, metalurgie, topitorii si alte sectoare cu cantiati mari de reziduuri.,Cod de comanda:1.186-124.0",Nou,,0.0,
Karcher - Masina de maturat - aspirat KM 150/500 R Bp,1.186-125.0,"Masina de maturat industriala complet hidraulica: design robust pentru cele mai dificile sarcini (materiale de constructii si metalele, turnatorii, alte unitati cu mult praf).,Cod de comanda:1.186-125.0",Nou,,0.0,
Karcher - Autoutilitara MIC 34C,1.442-210.2,"O masina compacta pentru utilizare pe tot parcursul anului pentru domeniul comunal.,Cod de comanda:1.442-210.2",Nou,,0.0,
Karcher - Masina de maturat - aspirat KM 130/300 R Bp Pack,1.186-129.0,"Masina de maturat industriala complet hidraulica: design robust pentru cele mai dificile sarcini (materiale de constructii si metalurgie, turnatorii, alte unitati cu reziduuri numeroase).,Cod de comanda:1.186-129.0",Nou,,0.0,
Karcher - Masina de maturat - aspirat MC 50 versiunea Advanced Comfort,1.442-202.2,"O masina compacta pentru utilizare pe tot parcursul anului - atat iarna cat si in sezonul verde.,Cod de comanda:1.442-202.2",Nou,,0.0,
Karcher - Masina de maturat - aspirat KM 120/150 R Bp Pack,1.511-110.0,"In cazul aparatului KM 120/150 R Bp Pack este vorba despre o masina de maturat - aspirat compacta, moderna si functionala pentru utilizarea profesionala pe suprefete mijlocii pana la mari, atat in zone interioara cat si in zone exterioare cu o latime de lucru de 1200 mm. Ca si toate masinile de maturat de la Kärcher si aparatul KM 120/150 R Bp Pack indeplineste cerintele stricte nemtesti in ceea ce priveste siguranta aparatului, purtand astfel semnul TÜV/GS ca si evidentiere a sigurantei si ergonomiei verificate.,Cod de comanda:1.511-110.0",Nou,,0.0,
Karcher - Utilaj de produs gheata carbonica IP 55,1.574-110.0,"Utilizatorii aparatului Ice Blasters pot sa acopere acum singuri necesitatea lor de gheata carbonica. Cu agregatele pentru granulare de la Kärcher produceti pe viitor la fata locului paletele de gheata carbonica. Independenta fata de un furnizor extern nu este un plus doar pentru flexibilitatea mai mare de care veti dispune in procesul zilnic de curatare, ci si pentru timpii morti mai scurti din timpul productiei care genereaza o rentabilitate mai mare. Agregatele granulate de la Kärcher nu isi gasesc doar intrebuintare profesionala la utilizatorii aparatului Ice Blaster in turnatorii, tipografii, vopsitorii si multe alte domenii industriale, ci pot fi utilizate peste tot acolo und produsele sunt sensibile la caldura si trebuie racite cu gheata carbonica.,Cod de comanda:1.574-110.0",Nou,,0.0,
Karcher - MASINA DE MATURAT - ASPIRAT KM 130/300 R Lpg,1.186-121.0,"Maşina de măturat industrială angrenata cu GPL şi complet hidraulică KM 130/300 R GPL pentru zonele interioare şi exterioare este potrivită pentru utilizări extreme în industriile cu materiale de construcţii, metalurgice sau de turnătorie şi în toate celelalte domenii cu murdăriri intensive. Datorită principiului de măturare cu lopată sunt admise atât murdăririle fine cât şi mizeria dură. Grinda cilindrică se adaptează denivelărilor de pe podele şi reduce astfel uzura aparatului la un minim. Grinda principală poate fi schimbată în doar câteva momente şi fără scule. În cazul transportului recipientul pentru mizerie se închide automat. Două filtre plane tip evantai cu poziţie orizontală sunt responsabile ca şi în condiţii de praf intens aerul sa rămână curat. Curăţarea filtrelor se face prin apăsarea unui buton prin foarte eficientul declanşator dual. Filtrul este foarte accesibil şi poate fi schimbat uşor şi fără unelte. Şi motorul este uşor accesibil. Funcţiile de bază sunt uşor de mânuit prin conceptul de operaţiuni EASY printr-un buton rotativ. Un filtru ciclon curăţă aerul chiar înainte ca acesta să ajungă în filtrul motorului crescând astfel timpul de aşteptare.",Nou,,178672.0,
Karcher - Masina de maturat - aspirat KM 130/300 R D CLASSIC,1.186-139.0,Cod de comanda:1.186-139.0,Nou,,0.0,
Karcher - Masina de maturat - aspirat KM 130/300 R Bp,1.186-122.0,"Masina de maturat industriala angrenata cu baterii si silentioasa cu directie pe spate in trei roti. Pentru utilizari dure in industriile cu materiale de constructii si de prelucrare a metalelor, topitorii si alte sectoare unde se produc cantitati mari de reziduuri.,Cod de comanda:1.186-122.0",Nou,,0.0,
Karcher - Autoutilitare MIC 26C,1.442-212.2,"Suportul municipal multifunctional de aparate MIC 26 C si cositoare cu post de conducere fara cabina ofera o imagine optima de ansamblu asupra tuturor atasamentelor si imprejurimilor, si este ideal pentru a fi utilizat tot timpul anului. 26 CP.,Cod de comanda:1.442-212.2",Nou,,0.0,
Karcher - MIC 50,1.442-220.2,"Suportul municipal de aparate de greutate medie cu 50 CP, cu o greutate totala admisa de 3,2 t, este ideal pentru utilizare tot timpul anului si impresioneaza prin dimensiunile sale compacte si prin manevrabilitatea ridicata.,Cod de comanda:1.442-220.2",Nou,,0.0,
Karcher - Masina de maturat - aspirat KM 120/150 R G,1.511-106.0,"In cazul aparatului KM 120/150 R P este vorba despre o masina de maturat - aspirat compacta, moderna si functionala pentru utilizarea profesionala pe suprefete mijlocii pana la mari, atat in zone interioara cat si in zone exterioare cu o latime de lucru de 1200 mm. Ca si toate masinile de maturat de la Kärcher si aparatul KM 120/150 R P indeplineste cerintele stricte nemtesti in ceea ce priveste siguranta aparatului, purtand astfel semnul TÜV/GS ca si evidentiere a sigurantei si ergonomiei verificate.,Cod de comanda:1.511-106.0",Nou,,0.0,
Karcher - MASINA DE MATURAT - ASPIRAT KM 125/130 R Lpg+KSSB,0.300-220.0,"Ideal pentru spatii inchise: aparatul cu propulsie pe gaz KM 125/130 R LPG + KSSB cu post de conducere de la Karcher nu doar ca este o masina cu emisii foarte scazute, dar datorita curatarii filtrului Tact curatarea se face si fara praf. Si in plus, este rapid: cu peria brevetata laterala, poti curata in colturi dintr-un singur pas, nemaifiind nevoie de curatarea manuala., Peria principala este pozitionata practic direct intre rotile din spate. Aceasta permite accesul usor si ocolirea obstacolelor. Operatorul poate selecta unul din cele trei niveluri de presiune de contact prin apasarea unui buton in functie de tipul de pardoseala si nivelului de murdarie, in timp ce uzura periei este monitorizata de ""Teach System"". , Acesta regleaza automat inaltimea periei cand este necesar, asigurand cele mai bune rezultate de stergere. Operatorul poate vedea presiunea de contact si nivelul de uzura afisata clar pe display-ul multifunctional.",Nou,,146948.0,
Karcher - Aparat de curatat cu presiune foarte ridicata Hd 9/100,1.812-000.0,"HD 9/100-4 Cage Classic Ultra iese în evidență datorită presiunii de lucru de 1000 bar, debit 900 l/h și un pistol de declanșare bypass. Îndepărtează chiar și murdăria extrem de persistentă.,cod comanda: 1.812-000.0",Nou,,0.0,
Karcher - MASINA DE MATURAT - ASPIRAT KM 125/130 R G+KSSB,0.300-218.0,"Masina care gandeste si economiseste foarte mult timp: masina noastra de maturat-aspirat pe benzina KM 125/130 R G+KSSB cu post de conducere are in dotare multe inovatii. Una dintre dotarile exceptionale este peria laterala, ce permite maturarea colturilor intr-o singura etapa, facand ca munca manuala sa nu mai fie necesara. Inaltimea rolei principale de maturare ce este pozitionata intre rotile spate, se ajusteaza automat in functie de utilizare si de rupere datorita ""Teach System"", asigurand cele mai bune rezultate de curatare pe parcursul operarii. , Pentru a imbunatati si mai mult acest fapt, puteti regla presiunea de contact a periei rola cu ajutorul a trei niveleuri diferite in functie de tipul de suprafata si gradul de murdarie. , Display-ul multifunctional permite verificarea presiunii de contact si gardul de uzura. Curatarea filtrului Tact complet automata permite teoretic, curatarea fara praf, in timp ce golirea electrohidraulica a containerului superior si sistemul Intelligent Key cresc confortul si siguranta in timpul curatarii.",Nou,,138795.0,
Karcher - MASINA DE MATURAT - ASPIRAT KM 105/110 R Bp Pack+KSSB,0.300-208.0,"Masina de maturat configurabila individual, disponibila cu ridicare hidraulica a recipientului. Optional, peria rotativa laterala brevetata permite curatarea in colturi la o singura trecere! , Curata la o singura trecere, spre deosebire de alte masini care necesita 5 - 7 treceri si nu mai este nevoie de curatare manuala. Pozitionarea rolei principale de stergere principale intre rotile din spate permite deplasarea peste borduri inalte, fara deteriorarea sistemului de maturare. Sistemul Teach regleaza automat rola principala, in functie de uzura, pentru rezultate de maturare consecvente, optime. , Sunt disponibile trei optiuni de presiuni de contact, in functie de suprafata si de tipul de murdarie. O alta caracteristica este sistemul de curatare a filtrului Tact pentru operarea fara praf, alaturi de sistemul brevetat Kärcher Intelligent Key, care, printre altele, controleaza alocarea diferitelor drepturi de utilizator. Afisajul multifunctional ofera un meniu in 28 de limbi si afiseaza, de ex., informatiile privind uzura rolei principale sau presiunea de contact selectate.",Nou,,125.0,
Karcher - MASINA DE MATURAT - ASPIRAT KM 125/130 Bp Pack 400Ah wet+KSSB,0.300-236.0,"Unic ca si cerintele tale: usor de adaptat preferintelor masina de maturat-aspirat cu post de conducere KM 125/130 R Bp Pack cu golire electrohidraulica a containerului. , Chiar si versiunea standard impresioneaza la curatarea colturilor prin marea economie de timp obtinuta, intrucat KM 125 necesita mai putin de jumatate din numarul pasilor de care au nevoie alte masini pentru aceasta operatiune. Peria laterala, ce permite maturarea colturilor intr-o singura etapa, face ca munca manuala sa nu mai fie necesara. Curatarea filtrului Tact complet automata permite teoretic, curatarea fara praf, in timp ce sistemul Intelligent Key permite acordarea anumitor facilitati diferitilor utilizatori. Obstacolele pot fi depasite cu usurinta, intrucat peria principala este amplasata intre rotile din spate, asigurand cele mai bune rezultate de curatare. , Daca uzura este detectata, sistemul Teach regleaza automat inaltimea periei. Se poate regla si nivelul presiunii de contact in functie de nivelurile diferite de murdarie sau tipurile de suprafete. Nivelul selectat al presiunii de contact si gradul de uzura sunt afisate pe display-ul multifunctional. Aceasta versiune cu motor electric permite totodata si utilizarea la interior.",Nou,,118000.0,
Karcher - Aparat de curatare cu gheata carbonica IB 15/120,1.574-104.0,"Aparatul de curatat cu gheata carbonica Ice Blaster IB 15/120 este una din cele mai puternice masini de curatat cu gheata de pe piata. Impresioneaza prin robustete, tehnologia extrem de fiabila si cele mai bune rezultate de curatare cu gheata.,Cod de comanda:1.574-104.0",Nou,,0.0,
Karcher - MASINA DE MATURAT - ASPIRAT KM 105/110 R Bp+KSSB,0.300-209.0,"Masina de maturat configurabila individual, disponibila cu ridicare hidraulica a recipientului. Optional, peria rotativa laterala brevetata permite curatarea in colturi la o singura trecere! , Curata la o singura trecere, spre deosebire de alte masini care necesita 5 - 7 treceri si nu mai este nevoie de curatare manuala. Pozitionarea rolei principale de stergere principale intre rotile din spate permite deplasarea peste borduri inalte, fara deteriorarea sistemului de maturare.,Sistemul Teach regleaza automat rola principala, in functie de uzura, pentru rezultate de maturare consecvente, optime. , Sunt disponibile trei optiuni de presiuni de contact, in functie de suprafata si de tipul de murdarie. O alta caracteristica este sistemul de curatare a filtrului Tact pentru operarea fara praf, alaturi de sistemul brevetat Kärcher Intelligent Key, care, printre altele, controleaza alocarea diferitelor drepturi de utilizator. Afisajul multifunctional ofera un meniu in 28 de limbi si afiseaza, de ex., informatiile privind uzura rolei principale sau presiunea de contact selectate.",Nou,,110762.0,
Karcher - MASINA DE MATURAT - ASPIRAT KM 105/100 R Bp Pack+KSSB,0.300-207.0,"Masina de maturat- aspirat configurabila individual, disponibila cu golire manuala a recipientului. Optional, peria rotativa laterala brevetata permite curatarea in colturi la o singura trecere! Curata la o singura trecere, spre deosebire de alte masini care necesita 5 - 7 treceri si nu mai este nevoie de curatare manuala., Pozitionarea rolei principale de stergere principale intre rotile din spate permite deplasarea peste borduri inalte, fara deteriorarea sistemului de maturare. Sistemul Teach regleaza automat rola principala, in functie de uzura, pentru rezultate de maturare consecvente, optime. Sunt disponibile trei optiuni de presiuni de contact, in functie de suprafata si de tipul de murdarie. , O alta caracteristica este sistemul de curatare a filtrului Tact pentru operarea fara praf, alaturi de sistemul brevetat Kärcher Intelligent Key, care, printre altele, controleaza alocarea diferitelor drepturi de utilizator. Afisajul multifunctional ofera un meniu in 28 de limbi si afiseaza, de ex., informatiile privind uzura rolei principale sau presiunea de contact selectate.",Nou,,106742.0,
Karcher - Curatitor cu apa sub presiune HDS 8/18-4 C,1.174-900.0,"Aparat cu 3 faze cu apa calda cu motor in 4 poli, racit cu apa, electric, spatii de depozitare, nivel Eco, operare de la 1 buton, rezervor integrat pistol Easy Press, reglare continua a presiunii/ debitului apei, etc.,Curatitoarele cu presiune HDS sunt extrem de eficiente impotriva COVID-19 datorita:,-  apei calde cu presiune care ajunge la 100° ,-  aburului care ajunge pana la 155°,La aceste temperaturi sunt distrusi 99.99% din virusi.,cod comanda: 1.174-900.0",Nou,In stoc ,19308.0,
Karcher - Aparat de curatat cu inalta presiune HD 10/23-4s Plus,1.286-923.0,"HD 10/23-4 S Plus- Aparatul de curatat cu inalta presiune vertical impresioneaza cu pistolul ,EASY!Force,, comutatorul de control al presiunii si o lance de pulverizare de inox.,cod comanda: 1.286-923.0",Nou,La comanda,0.0,
Karcher - Curatitor cu apa self service SB Wash 5/10 Fp, 1.319-202.0,"Acest aparat in regim self-service este un aparat de spalat cu inalta presiune compact, incastrat complet in carcasa si activat prin introducerea de monede, care poate fi pornit prin introducerea de monede sau jetoane. Operarea de catre utilizator este extrem de simpla deoarece selectarea programelor se face rotind un buton pe usa frontala. Fiecare program de spalare este ilustrat printr-o pictograma si toate programele sunt ordonate cronologic si sunt explicate. in intervalele de spalare date, clientul este liber sa aleaga si sa schimbe programele de spalare.,cod comanda: ,1.319-202.0",Nou,,0.0,
Karcher - MASINA DE MATURAT - ASPIRAT KM 105/100 R G+KSSB, 0.300-199.0,"Masina de maturat-aspirat configurabila individual, disponibila cu ridicare manual a recipientului. Optional, peria rotativa laterala brevetata permite curatarea in colturi la o singura trecere! , Curata la o singura trecere, spre deosebire de alte masini care necesita 5 - 7 treceri si nu mai este nevoie de curatare manuala. Pozitionarea rolei principale de stergere principale intre rotile din spate permite deplasarea peste borduri inalte, fara deteriorarea sistemului de maturare. Sistemul Teach regleaza automat rola principala, in functie de uzura, pentru rezultate de maturare consecvente, optime. , Sunt disponibile trei optiuni de presiuni de contact, in functie de suprafata si de tipul de murdarie. O alta caracteristica este sistemul de curatare a filtrului Tact pentru operarea fara praf, alaturi de sistemul brevetat Kärcher Intelligent Key, care, printre altele, controleaza alocarea diferitelor drepturi de utilizator. , Afisajul multifunctional ofera un meniu in 28 de limbi si afiseaza, de ex., informatiile privind uzura rolei principale sau presiunea de contact selectate.",Nou,,0.0,
Karcher - MASINA DE MATURAT - ASPIRAT KM 105/100 R D+KSSB, 0.300-201.0,"Masina de maturat-aspirat configurabila individual, disponibila cu ridicare manuala a recipientului. Optional, peria rotativa laterala brevetata permite curatarea in colturi la o singura trecere! , Curata la o singura trecere, spre deosebire de alte masini care necesita 5 - 7 treceri si nu mai este nevoie de curatare manuala. Pozitionarea rolei principale de stergere principale intre rotile din spate permite deplasarea peste borduri inalte, fara deteriorarea sistemului de maturare. Sistemul Teach regleaza automat rola principala, in functie de uzura, pentru rezultate de maturare consecvente, optime., Sunt disponibile trei optiuni de presiuni de contact, in functie de suprafata si de tipul de murdarie. O alta caracteristica este sistemul de curatare a filtrului Tact pentru operarea fara praf, alaturi de sistemul brevetat Kärcher Intelligent Key, care, printre altele, controleaza alocarea diferitelor drepturi de utilizator. ,Afisajul multifunctional ofera un meniu in 28 de limbi si afiseaza, de ex., informatiile privind uzura rolei principale sau presiunea de contact selectate.",Nou,,0.0,
Karcher - MASINA DE MATURAT - ASPIRAT KM 105/110 R D+KSSB, 0.300-202.0,"Masina de maturat-aspirat configurabila individual, disponibila cu ridicare hidraulica a recipientului. Optional, peria rotativa laterala brevetata permite curatarea in colturi la o singura trecere! Curata la o singura trecere, spre deosebire de alte masini care necesita 5 - 7 treceri si nu mai este nevoie de curatare manuala. Pozitionarea rolei principale de stergere principale intre rotile din spate permite deplasarea peste borduri inalte, fara deteriorarea sistemului de maturare. , Sistemul Teach regleaza automat rola principala, in functie de uzura, pentru rezultate de maturare consecvente, optime. Sunt disponibile trei optiuni de presiuni de contact, in functie de suprafata si de tipul de murdarie., O alta caracteristica este sistemul de curatare a filtrului Tact pentru operarea fara praf, alaturi de sistemul brevetat Kärcher Intelligent Key, care, printre altele, controleaza alocarea diferitelor drepturi de utilizator. Afisajul multifunctional ofera un meniu in 28 de limbi si afiseaza, de ex., informatiile privind uzura rolei principale sau presiunea de contact selectate.",Nou,,0.0,
Karcher - MASINA DE MATURAT - ASPIRAT KM 105/110 R LPG+KSSB, 0.300-204.0,,Nou,,0.0,
Karcher - MASINA DE MATURAT - ASPIRAT KM 105/110 R D, 0.300-211.0,"Masina de maturat-aspirat configurabila individual, disponibila cu ridicare hidraulica a recipientului. Optional, peria rotativa laterala brevetata permite curatarea in colturi la o singura trecere! , Curata la o singura trecere, spre deosebire de alte masini care necesita 5 - 7 treceri si nu mai este nevoie de curatare manuala.Pozitionarea rolei principale de stergere principale intre rotile din spate permite deplasarea peste borduri inalte, fara deteriorarea sistemului de maturare. Sistemul Teach regleaza automat rola principala, in functie de uzura, pentru rezultate de maturare consecvente, optime. , Sunt disponibile trei optiuni de presiuni de contact, in functie de suprafata si de tipul de murdarie. O alta caracteristica este sistemul de curatare a filtrului Tact pentru operarea fara praf, alaturi de sistemul brevetat Kärcher Intelligent Key, care, printre altele, controleaza alocarea diferitelor drepturi de utilizator. Afisajul multifunctional ofera un meniu in 28 de limbi si afiseaza, de ex., informatiile privind uzura rolei principale sau presiunea de contact selectate.",Nou,,0.0,
Karcher - MASINA DE MATURAT - ASPIRAT KM 105/110 R Bp, 0.300-212.0,"Masina de maturat-aspirat configurabila individual, disponibila cu ridicare hidraulica a recipientului. Optional, peria rotativa laterala brevetata permite curatarea in colturi la o singura trecere! Curata la o singura trecere, spre deosebire de alte masini care necesita 5 - 7 treceri si nu mai este nevoie de curatare manuala., Pozitionarea rolei principale de stergere principale intre rotile din spate permite deplasarea peste borduri inalte, fara deteriorarea sistemului de maturare. Sistemul Teach regleaza automat rola principala, in functie de uzura, pentru rezultate de maturare consecvente, optime. , Sunt disponibile trei optiuni de presiuni de contact, in functie de suprafata si de tipul de murdarie. O alta caracteristica este sistemul de curatare a filtrului Tact pentru operarea fara praf, alaturi de sistemul brevetat Kärcher Intelligent Key, care, printre altele, controleaza alocarea diferitelor drepturi de utilizator. Afisajul multifunctional ofera un meniu in 28 de limbi si afiseaza, de ex., informatiile privind uzura rolei principale sau presiunea de contact selectate.",Nou,,0.0,
