TITLE,MODEL,DESCRIPTION,CONDITION,AVAILABILITY_STATUS,PRICE_LIST,PRICE
Karcher - MASINA DE MATURAT - ASPIRAT KM 100/100 R LPG,1.280-107.0,"DESCRIERE TEHNICA: Actionare: - Motor Honda de 6,7 kW - Pedala pentru rulare in fata si in spate - Cerc de viraj mic ( 3350 mm)- Frana pentru blocare automata cu vacuum - oprire automata a motorului in momentul in care postul de conducere este parasit , Sistem de maturare / aspirare: Aparatul functioneaza dupa principiul aruncarii in spate ceea ce inseamna ca murdaria este transportata de catre rola in spate in recipientul pentru mizerie. Peria rola suspendata se adapteaza automat denivelarilor de pe podele. Atat filtrul cat si rola principala de stergere pot fi schimbate simplu fara a fi necesare scule suplimentare. , Clapeta incorporata pentru murdarie grosiera incorporata permite curatarea murdariei mari de tipul dozelor, aschii, pietris sau frunzis umed. Peria laterala si rola principala sunt actionate hidraulic. Optional este disponibila o a doua perie laterala., Recipientul pentru mizerie: Cei doua containere pentru murdarie a cate 50 litri pot fi scosi pe lateral. Manuire: Printr-un intrerupator se lasa in jos peria laterala si rola principala. Deplasare in fata si in spate este controlata printr-o singura pedala.",Nou,,56194.0,
Karcher - Aparate stationare de curatare cu presiune HDC Standard,1.509-500.2,"Solutia perfecta pentru curatarea performanta regulata sau frecventa in diverse sectoare de activitate. Pentru utilizarea simultana a 2 - 8 puncte de bransament.,cod comanda: 1.509-500.2",Nou,,0.0,
Karcher - MASINA DE MATURAT - ASPIRAT KM 125/130 Bp + KSSB, 0.300-234.0,"Economiseste timp si resurse. Si daca dotarea masini de maturat-aspirat cu post de conducere KM 125/130 R Bp cu un motor electric, prietenos cu mediul, scutesti multe resurse si timp datorita conceptului bine gandit de stergere ce injumatateste numarul de etape necesare curatarii colturilor, fata de alte aparate., Daca alegeti peria optionala laterala, colturile se pot curata dintr-un singur pas, fara nicio alta interventie manuala. Chiar si treptele mari pot fi sterse fara probleme deoarece peria principala este amplasata intre rotile din spate, in timp ce Teach System monitorizeaza uzura, adaptand automat periile la inaltimea solicitata, asigurand intotdeauna cele mai bune rezultate posibile. , Trei niveluri ale presiunii de contact pot fi setate prin apasarea unui buton pentru reglarea in functie de tipul de suprafata si de murdarie. Sistemul brevetat de curatare a filtrului Tact asigura lucrul fara praf, si sistemul Intelligent Key ajuta la setarea unor drepturi speciale pentru diferiti utilizatori. Operatorul poate vedea presiunea de contact si nivelul de uzura afisata clar pe display-ul multifunctional",Nou,,0.0,
Karcher - MASINA DE MATURAT - ASPIRAT KM 105/110 R G+KSSB,0.300-200.0,"Masina de maturat-aspirat configurabila individual, disponibila cu ridicare hidraulica a recipientului. Optional, peria rotativa laterala brevetata permite curatarea in colturi la o singura trecere! , Curata la o singura trecere, spre deosebire de alte masini care necesita 5 - 7 treceri si nu mai este nevoie de curatare manuala. Pozitionarea rolei principale de stergere principale intre rotile din spate permite deplasarea peste borduri inalte, fara deteriorarea sistemului de maturare. , Sistemul Teach regleaza automat rola principala, in functie de uzura, pentru rezultate de maturare consecvente, optime. Sunt disponibile trei optiuni de presiuni de contact, in functie de suprafata si de tipul de murdarie. O alta caracteristica este sistemul de curatare a filtrului Tact pentru operarea fara praf, alaturi de sistemul brevetat Kärcher Intelligent Key, care, printre altele, controleaza alocarea diferitelor drepturi de utilizator. , Afisajul multifunctional ofera un meniu in 28 de limbi si afiseaza, de ex., informatiile privind uzura rolei principale sau presiunea de contact selectate.",Nou,,107004.0,
Karcher - Masina de maturat - aspirat KM 130/300 R D,1.186-120.0,"Masina de maturat industriala angrenata cu baterii si silentioasa cu directie pe spate in trei roti. Pentru utilizari dure in industriile cu materiale de constructii si de prelucrare a metalelor, topitorii si alte sectoare unde se produc cantitati mari de reziduuri.,Cod de comanda:1.186-120.0",Nou,,0.0,
Karcher - Masina de maturat - aspirat KM 150/500 R Bp Pack,1.186-130.0,"Masina de maturat industriala complet hidraulica: design robust pentru cele mai dificile sarcini (materiale de constructii si metalele, turnatorii, alte unitati cu mult praf).,Cod de comanda:1.186-130.0",Nou,,0.0,
Karcher - Aparat de curatat cu inalta presiune HD 10/25-4 SX Plus,1.286-927.0,"HD 10/25-4 SX Plus - Aparatul de curatat cu inalta presiune vertical ce impresioneaza cu pistolul ,EASY!Force,, comutatorul pentru reglarea presiunii si Servo Control.,Varianta Sx vine in plus cu:,- tambur pentru strangerea furtunului de presiune,- furtun de presiune de 20m,cod comanda: 1.286-927.0",Nou,,12900.0,
Karcher - Curatitor cu apa sub presiune HDS-E 8/16-4 M 36 kW,1.030-262.0,"HDS-E 8/16-4M cu boiler electric este ideal pentru evitarea emisiilor de gaze. Eficient si ecologic datorita izolatiei inovatoare a boilerului si modului de functionare economic.,Cod de comanda:1.030-262.0",Nou,,0.0,
Karcher - Masina de frecat aspirat BR 40/25 C Ep,1.515-102.0,"Masina de frecat - aspirat, condusa manual si actionata prin curent cu tehnica de cilindrii si o performanta de suprafata de 1600 m²/h. Pentru curatarea economica in detaliu si de intretinere si pentru polisarea suprafetelor de pana la 800 m².,Cod de comanda:1.515-102.0",Nou,,0.0,
Karcher - ASPIRATOR CU PERI PENTRU COVOR CV 66/2,1.012-585.0,"Aspiratorul vertical de tip perie CV 66/2 este potrivit pentru curățarea în profunzime și economică de întreținere a covoarelor cu suprafețe de dimensiuni medii. Cu sistemul său cu perii cilindrice care se rotesc în sens contrar și mânerul reglabil pe înălțime, aparatul este extrem de ușor de utilizat și ergonomic.,cod comanda: ,1.012-585.0, ",Nou,La comanda,0.0,
